 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 06-Ap | 21:04 |/SCVCD-NEW-tratest/2_1_00115_511x912.yuv|  150 |  0/0  | 42 | 42 | 42 | 511x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 27.390| 36.328| 35.825| 26.925| 35.703| 34.973| 128630| 329859|      0|   458530|       12827847   |       12652170   |
| 19.0/(FRExt)| 07-Ap | 03:20 |/SCVCD-NEW-tratest/2_1_00135_914x912.yuv|  150 |  0/0  | 22 | 22 | 22 | 914x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 45.230| 50.114| 49.919| 44.758| 49.346| 49.152| 612242|6242773|      0|  6855054|       22564323   |       22202143   |
| 19.0/(FRExt)| 07-Ap | 09:37 |/SCVCD-NEW-tratest/2_1_00135_914x912.yuv|  150 |  0/0  | 27 | 27 | 27 | 914x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 41.675| 47.581| 47.585| 41.103| 46.873| 46.810| 373275|3023894|      0|  3397210|       22606489   |       22269678   |
| 19.0/(FRExt)| 07-Ap | 15:59 |/SCVCD-NEW-tratest/2_1_00135_914x912.yuv|  150 |  0/0  | 32 | 32 | 32 | 914x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 38.033| 45.048| 45.163| 37.388| 44.386| 44.561| 225530|1375030|      0|  1600600|       22886848   |       22568334   |
| 19.0/(FRExt)| 07-Ap | 22:09 |/SCVCD-NEW-tratest/2_1_00135_914x912.yuv|  150 |  0/0  | 37 | 37 | 37 | 914x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 34.658| 42.741| 43.012| 34.053| 42.107| 42.451| 137235| 642120|      0|   779395|       22191381   |       21890307   |
| 19.0/(FRExt)| 08-Ap | 04:25 |/SCVCD-NEW-tratest/2_1_00135_914x912.yuv|  150 |  0/0  | 42 | 42 | 42 | 914x912 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 30.983| 39.965| 40.311| 30.701| 39.101| 39.885|  78930| 309611|      0|   388581|       22567064   |       22276924   |
| 19.0/(FRExt)| 08-Ap | 07:48 |/SCVCD-NEW-tratest/2_2_00347_933x497.yuv|  150 |  0/0  | 22 | 22 | 22 | 933x497 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 46.319| 49.895| 49.870| 45.512| 48.980| 48.711| 290374|1405765|      0|  1696181|       12186165   |       11996467   |
| 19.0/(FRExt)| 08-Ap | 11:14 |/SCVCD-NEW-tratest/2_2_00347_933x497.yuv|  150 |  0/0  | 27 | 27 | 27 | 933x497 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 42.623| 47.154| 47.321| 41.779| 46.489| 46.239| 179741| 509101|      0|   688883|       12370688   |       12196301   |
| 19.0/(FRExt)| 08-Ap | 14:42 |/SCVCD-NEW-tratest/2_2_00347_933x497.yuv|  150 |  0/0  | 32 | 32 | 32 | 933x497 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 38.559| 44.893| 45.083| 38.004| 44.392| 44.482| 110494| 179718|      0|   290254|       12464957   |       12298225   |
| 19.0/(FRExt)| 08-Ap | 18:13 |/SCVCD-NEW-tratest/2_2_00347_933x497.yuv|  150 |  0/0  | 37 | 37 | 37 | 933x497 |   32  |  0 |  FFS |  022 |  64 |  5  | 30.00| CABAC|   1  |   OFF   |  0  | 34.901| 42.953| 43.304| 34.637| 42.559| 42.736|  67237|  75426|      0|   142704|       12674488   |       12511393   |
